Dataset,Period,Trades,StartEquity,EndEquity,NetProfitYen,ReturnPct,MaxDDYen,MaxDDPct,MoneyRoMD,WinRate,PF_Yen,WorstWeekReturnPct,BestWeekReturnPct,AvgWeekReturnPct
V1_MaxTrades_6_JPY_3_AUD_3,Q1_2026,277,71473945849762.0,79003390340662.0,7529444490901.0,10.53,13304315873792.0,15.68,0.57,50.9,1.065,-8.83,15.33,0.92
V1_MaxTrades_7_JPY_2_AUD_2,Full_2015_2026Q1,9870,500000.0,1730465616677.0,1730465116677.0,346093023.34,250458039810.0,28.62,6.91,53.75,1.282,-13.63,47.32,2.87
V1_MaxTrades_7_JPY_2_AUD_2,StrictIS_2015_2024,8751,500000.0,386698011888.0,386697511888.0,77339502.38,52415720115.0,28.62,7.38,53.88,1.389,-13.63,47.32,2.9
V1_MaxTrades_7_JPY_2_AUD_2,StrictOOS_2025_2026Q1,1119,386698011888.0,1730465616677.0,1343767604789.0,347.5,250458039810.0,26.52,5.37,52.73,1.261,-12.76,34.83,2.66
V1_MaxTrades_7_JPY_2_AUD_2,Q1_2026,228,1531678924784.0,1730465616677.0,198786691893.0,12.98,250458039810.0,13.31,0.79,51.75,1.099,-8.48,12.68,1.05
V1_MaxTrades_7_JPY_2_AUD_3,Full_2015_2026Q1,10865,500000.0,8090431792979.0,8090431292979.0,1618086258.6,1498964448614.0,31.66,5.4,54.05,1.267,-14.59,48.37,3.18
V1_MaxTrades_7_JPY_2_AUD_3,StrictIS_2015_2024,9660,500000.0,1527667810967.0,1527667310967.0,305533462.19,239051152818.0,31.66,6.39,54.18,1.37,-14.59,48.37,3.21
V1_MaxTrades_7_JPY_2_AUD_3,StrictOOS_2025_2026Q1,1205,1527667810967.0,8090431792979.0,6562763982011.0,429.59,1498964448614.0,29.41,4.38,53.03,1.251,-12.76,40.83,2.99
V1_MaxTrades_7_JPY_2_AUD_3,Q1_2026,259,7413188297600.0,8090431792979.0,677243495379.0,9.14,1498964448614.0,16.19,0.45,50.58,1.062,-11.6,15.58,0.84
V1_MaxTrades_7_JPY_3_AUD_2,Full_2015_2026Q1,10982,500000.0,21583788164421.0,21583787664421.0,4316757532.88,2836559608451.0,31.27,7.61,53.68,1.311,-16.4,49.94,3.38
V1_MaxTrades_7_JPY_3_AUD_2,StrictIS_2015_2024,9756,500000.0,3501181759805.0,3501181259805.0,700236251.96,290193195965.0,31.27,12.07,53.71,1.511,-16.4,49.94,3.41
V1_MaxTrades_7_JPY_3_AUD_2,StrictOOS_2025_2026Q1,1226,3501181759805.0,21583788164421.0,18082606404616.0,516.47,2836559608451.0,23.44,6.37,53.43,1.289,-12.06,34.9,3.19
V1_MaxTrades_7_JPY_3_AUD_2,Q1_2026,251,18217576737737.0,21583788164421.0,3366211426684.0,18.48,2836559608451.0,13.32,1.19,52.99,1.125,-5.29,14.06,1.41
V1_MaxTrades_8_JPY_2_AUD_2,Full_2015_2026Q1,9870,500000.0,1730465616677.0,1730465116677.0,346093023.34,250458039810.0,28.62,6.91,53.75,1.282,-13.63,47.32,2.87
V1_MaxTrades_8_JPY_2_AUD_2,StrictIS_2015_2024,8751,500000.0,386698011888.0,386697511888.0,77339502.38,52415720115.0,28.62,7.38,53.88,1.389,-13.63,47.32,2.9
V1_MaxTrades_8_JPY_2_AUD_2,StrictOOS_2025_2026Q1,1119,386698011888.0,1730465616677.0,1343767604789.0,347.5,250458039810.0,26.52,5.37,52.73,1.261,-12.76,34.83,2.66
V1_MaxTrades_8_JPY_2_AUD_2,Q1_2026,228,1531678924784.0,1730465616677.0,198786691893.0,12.98,250458039810.0,13.31,0.79,51.75,1.099,-8.48,12.68,1.05
V1_MaxTrades_8_JPY_2_AUD_3,Full_2015_2026Q1,10867,500000.0,8352289045612.0,8352288545612.0,1670457709.12,1547480364990.0,31.66,5.4,54.05,1.267,-14.59,48.37,3.19
V1_MaxTrades_8_JPY_2_AUD_3,StrictIS_2015_2024,9662,500000.0,1577112748661.0,1577112248661.0,315422449.73,246788351489.0,31.66,6.39,54.18,1.37,-14.59,48.37,3.21
V1_MaxTrades_8_JPY_2_AUD_3,StrictOOS_2025_2026Q1,1205,1577112748661.0,8352289045612.0,6775176296951.0,429.59,1547480364990.0,29.41,4.38,53.03,1.251,-12.76,40.83,2.99
V1_MaxTrades_8_JPY_2_AUD_3,Q1_2026,259,7653125691615.0,8352289045612.0,699163353997.0,9.14,1547480364990.0,16.19,0.45,50.58,1.062,-11.6,15.58,0.84
V1_MaxTrades_8_JPY_3_AUD_2,Full_2015_2026Q1,10982,500000.0,21583788164421.0,21583787664421.0,4316757532.88,2836559608451.0,31.27,7.61,53.68,1.311,-16.4,49.94,3.38
V1_MaxTrades_8_JPY_3_AUD_2,StrictIS_2015_2024,9756,500000.0,3501181759805.0,3501181259805.0,700236251.96,290193195965.0,31.27,12.07,53.71,1.511,-16.4,49.94,3.41
