Pair,Method,Period,Q,N,ObservedWeeks,Mean,Median,Std,PositiveRate,NegativeRate,NeutralRate,CILow,CIHigh,ValidBootstraps
USDJPY,Primary,Monitor2026,2,42,27,-5.204761904761651,-0.750000000000739,22.01290034614383,0.42857142857142855,0.5714285714285714,0.0,-12.57855127186,1.3439687500002537,5000
USDJPY,Primary,Monitor2026,3,34,23,-3.264705882352814,1.5500000000002956,25.637459363948935,0.5,0.5,0.0,-12.010769230768938,5.09681650246327,5000
USDJPY,Primary,Monitor2026,4,21,16,4.86666666666649,6.499999999999773,24.24974913959612,0.6190476190476191,0.38095238095238093,0.0,-5.125000000000229,16.47585227272758,5000
USDJPY,Primary,Monitor2026,5,23,13,8.973913043477983,7.800000000000296,50.644942468409035,0.5652173913043478,0.43478260869565216,0.0,-13.301057692307795,27.712520833332608,5000
USDJPY,Robustness,Monitor2026,1,50,26,3.7739999999998872,3.2499999999998863,21.77566334892501,0.56,0.44,0.0,-1.9454750673857848,10.212779605263101,5000
USDJPY,Robustness,Monitor2026,2,47,28,-0.1191489361701165,-0.7000000000005002,17.890459423681012,0.48936170212765956,0.5106382978723404,0.0,-5.788815205327221,5.202530092593045,5000
USDJPY,Robustness,Monitor2026,3,35,24,-5.2314285714284585,-0.49999999999954525,23.469564413970737,0.4857142857142857,0.5142857142857142,0.0,-14.58903846153885,2.8969531250000666,5000
USDJPY,Robustness,Monitor2026,4,20,14,-3.6299999999999955,-2.200000000000557,46.05015686583915,0.5,0.5,0.0,-25.68022222222179,17.62585964912281,5000
USDJPY,Robustness,Monitor2026,5,24,16,8.429166666666651,9.40000000000083,37.15948564214009,0.5833333333333334,0.4166666666666667,0.0,-6.488750000000048,21.56316985645923,5000
EURAUD,Primary,Monitor2026,1,35,23,-1.3114285714286613,-2.20000000000109,19.67657268441431,0.45714285714285713,0.5428571428571428,0.0,-8.084871794871864,6.2156395348836915,5000
EURAUD,Primary,Monitor2026,2,43,26,-0.6976744186046776,-3.900000000001125,19.414850579758088,0.46511627906976744,0.5348837209302325,0.0,-7.100113636363618,6.193307629870175,5000
EURAUD,Primary,Monitor2026,3,39,24,-1.5948717948718243,0.5999999999994898,21.618266505287817,0.5128205128205128,0.48717948717948717,0.0,-9.022767518939656,5.740583333333463,5000
EURAUD,Primary,Monitor2026,4,30,24,6.026666666666698,8.099999999999774,27.43875855909619,0.5666666666666667,0.43333333333333335,0.0,-2.630345454545661,15.432338709677317,5000
EURAUD,Primary,Monitor2026,5,29,18,2.6103448275862338,-4.500000000000615,25.50675463518814,0.4827586206896552,0.5172413793103449,0.0,-6.479644268774624,10.45534072249616,5000
EURAUD,Robustness,Monitor2026,1,41,25,-1.7243902439024714,1.2999999999996348,16.966051109315334,0.5365853658536586,0.4634146341463415,0.0,-7.389457729468545,3.7547159090909474,5000
EURAUD,Robustness,Monitor2026,2,34,22,2.1176470588233616,1.2500000000004174,25.81904946949093,0.5588235294117647,0.4411764705882353,0.0,-5.429982943469879,12.384736842105418,5000
EURAUD,Robustness,Monitor2026,3,38,26,2.6552631578946615,5.949999999999012,24.951354806616067,0.5526315789473685,0.4473684210526316,0.0,-5.576294191919387,11.092338709677575,5000
EURAUD,Robustness,Monitor2026,4,37,26,-0.41891891891872207,-2.4999999999986144,18.56247465898511,0.4864864864864865,0.5135135135135135,0.0,-6.656193693693546,6.231774009146391,5000
EURAUD,Robustness,Monitor2026,5,25,17,3.2600000000000398,0.5999999999994898,27.33995854666408,0.52,0.48,0.0,-5.2532843137256675,10.34187499999984,5000
GBPJPY,Primary,Monitor2026,1,46,26,-3.9543478260872402,-2.950000000001296,32.20130229610608,0.4782608695652174,0.5217391304347826,0.0,-13.637871148459412,5.020055555555083,5000
GBPJPY,Primary,Monitor2026,2,37,25,-5.327027027027421,-3.4000000000020236,32.974819085078856,0.4864864864864865,0.5135135135135135,0.0,-15.816549447174987,6.206928571428303,5000
