Pair,Method,Period,TokyoSign,Q,N,ObservedWeeks,Mean,Median,LowSample,SideDelta,SideDeltaLowSample
EURAUD,Robustness,Monitor2026,DOWN,5,15,10,3.0199999999999476,0.5999999999994898,True,6.3400000000000265,True
GBPJPY,Primary,Monitor2026,UP,1,23,18,-5.665217391304583,2.9000000000024784,True,17.147035573122036,True
GBPJPY,Primary,Monitor2026,UP,2,13,11,-8.130769230769793,0.49999999999954525,True,17.147035573122036,True
GBPJPY,Primary,Monitor2026,UP,3,25,20,2.4159999999997126,10.599999999999454,True,17.147035573122036,True
GBPJPY,Primary,Monitor2026,UP,4,17,13,14.988235294117658,11.499999999998067,True,17.147035573122036,True
GBPJPY,Primary,Monitor2026,UP,5,11,10,11.481818181817454,11.699999999999022,True,17.147035573122036,True
GBPJPY,Primary,Monitor2026,DOWN,1,23,19,-2.2434782608698973,-4.000000000002046,True,12.306636155606622,True
GBPJPY,Primary,Monitor2026,DOWN,2,24,19,-3.8083333333336356,-7.800000000000296,True,12.306636155606622,True
GBPJPY,Primary,Monitor2026,DOWN,3,13,12,5.2769230769229125,9.800000000001319,True,12.306636155606622,True
GBPJPY,Primary,Monitor2026,DOWN,4,7,6,-0.19999999999933088,3.500000000002501,True,12.306636155606622,True
GBPJPY,Primary,Monitor2026,DOWN,5,19,12,10.063157894736724,-6.499999999999773,True,12.306636155606622,True
GBPJPY,Robustness,Monitor2026,UP,1,23,15,4.1347826086955,8.699999999998909,True,5.911884057970442,True
GBPJPY,Robustness,Monitor2026,UP,2,22,17,-2.027272727273235,-2.6500000000012847,True,5.911884057970442,True
GBPJPY,Robustness,Monitor2026,UP,3,20,17,-1.6699999999998738,8.849999999999625,True,5.911884057970442,True
GBPJPY,Robustness,Monitor2026,UP,4,13,12,3.130769230769313,0.49999999999954525,True,5.911884057970442,True
GBPJPY,Robustness,Monitor2026,UP,5,15,12,10.046666666665942,11.499999999998067,True,5.911884057970442,True
GBPJPY,Robustness,Monitor2026,DOWN,1,18,15,0.17777777777752135,-4.350000000000875,True,1.1222222222223925,True
GBPJPY,Robustness,Monitor2026,DOWN,2,22,18,-2.218181818181816,-10.04999999999967,True,1.1222222222223925,True
GBPJPY,Robustness,Monitor2026,DOWN,3,19,17,9.3526315789473,-6.499999999999773,True,1.1222222222223925,True
GBPJPY,Robustness,Monitor2026,DOWN,4,10,9,-3.6600000000001387,-1.649999999999352,True,1.1222222222223925,True
GBPJPY,Robustness,Monitor2026,DOWN,5,14,11,1.299999999999914,-8.449999999999136,True,1.1222222222223925,True
USDJPY,Primary,RecentCombined,UP,1,122,94,1.9713114754098138,3.650000000000375,False,-0.5010987094522508,False
