Method,Period,StrategyNo,R2Quintile,Expansion,Compression,ExpansionAvgR,CompressionAvgR,Delta,FEWeight,Informative
ATR,ALL,24,Q1,31,41,0.022724014322580637,0.08775067746341463,-0.065026663140834,17.65277777777778,True
ATR,ALL,24,Q2,21,33,0.1378835978095238,0.09151515154545453,0.046368446264069274,12.833333333333334,True
ATR,ALL,24,Q3,15,20,-0.07837037033333334,-0.04794444449999999,-0.030425925833333353,8.571428571428571,False
ATR,ALL,24,Q4,14,22,0.20531746028571432,0.1991414140909091,0.006176046194805218,8.555555555555555,False
ATR,ALL,24,Q5,23,46,0.22410628021739126,0.08966183573913042,0.13444444447826084,15.333333333333334,True
ATR,ALL,25,Q1,114,126,-0.012346491228070182,0.05523809523809524,-0.06758458646616541,59.85,True
ATR,ALL,25,Q2,31,52,0.08064516129032258,0.12389423076923076,-0.04324906947890818,19.42168674698795,True
ATR,ALL,25,Q3,39,62,0.06923076923076923,0.048548387096774205,0.02068238213399503,23.940594059405942,True
ATR,ALL,25,Q4,31,37,0.05806451612903225,0.013986486486486498,0.04407802964254575,16.86764705882353,True
ATR,ALL,25,Q5,70,77,0.14046428571428568,0.1324025974025974,0.00806168831168827,36.666666666666664,True
ATR,ALL,26,Q1,47,44,0.13716312053191487,0.002373737454545462,0.1347893830773694,22.725274725274726,True
ATR,ALL,26,Q2,32,5,0.051388888843750015,0.18755555540000002,-0.13616666655625,4.324324324324325,False
ATR,ALL,26,Q3,48,20,0.04814814812499999,0.16888888879999997,-0.12074074067499999,14.117647058823529,True
ATR,ALL,26,Q4,20,26,0.18244444439999996,0.046923076961538454,0.1355213674384615,11.304347826086957,True
ATR,ALL,26,Q5,25,42,0.14879999999999996,0.14931216930952382,-0.0005121693095238578,15.671641791044776,True
ATR,ALL,27,Q1,64,50,0.15617187500000002,0.10556666668,0.05060520832000001,28.07017543859649,True
ATR,ALL,27,Q2,24,34,0.06173611104166667,0.12225490202941176,-0.06051879098774509,14.068965517241379,True
ATR,ALL,27,Q3,30,42,0.10444444439999997,0.1488492063809524,-0.04440476198095242,17.5,True
