Period,Method,StrategyNo,Strategy,Symbol,Direction,Regime,Trades,TotalR,AvgR,PF,WinRate,AvgWinR,AvgLossR,LOW_SAMPLE,HighMinusLowAvgR,MaxMinusMinAvgR,Eligible,CILow,CIHigh,ValidBootstraps,ClearDependence
FULL,robustness,12,12_UJ_Short_Core,USDJPY,Short,NORMAL,149,48.989,0.3287852348993288,3.1324598441648894,63.08724832214765,0.7655531914893617,-0.42542592592592593,False,0.2534156589398606,0.2534156589398606,True,0.023099479477699417,0.4834301396901975,5000,True
FULL,robustness,12,12_UJ_Short_Core,USDJPY,Short,HIGH,155,54.404,0.3509935483870968,2.3926532701907077,56.774193548387096,1.062147727272727,-0.5830597014925373,False,0.2534156589398606,0.2534156589398606,True,0.023099479477699417,0.4834301396901975,5000,True
FULL,robustness,13,13_UJ_Fix_MidWeek,USDJPY,Long,LOW,85,5.167368419,0.060792569635294114,1.8870617992624834,62.35294117647059,0.20740814298113205,-0.18203947371875,False,0.0011372548813725486,0.06526855089696396,True,-0.09157322999259826,0.09919901969791853,5000,False
FULL,robustness,13,13_UJ_Fix_MidWeek,USDJPY,Long,NORMAL,62,7.815789473,0.12606112053225807,3.8029445067455527,62.903225806451616,0.271902834,-0.12123569795652174,False,0.0011372548813725486,0.06526855089696396,True,-0.09157322999259826,0.09919901969791853,5000,False
FULL,robustness,13,13_UJ_Fix_MidWeek,USDJPY,Long,HIGH,60,3.715789471,0.06192982451666666,1.7096903893371305,60.0,0.2486549707222222,-0.21815789479166667,False,0.0011372548813725486,0.06526855089696396,True,-0.09157322999259826,0.09919901969791853,5000,False
FULL,robustness,14,14_UJ_Sat_3rd,USDJPY,Short,LOW,32,15.915555561,0.49736111128125,3.752498079448597,71.875,0.9433816427391304,-0.6424691357777778,False,-0.4339043211145833,0.4951543210833334,False,-0.8808190291895778,0.024015243875790415,5000,False
FULL,robustness,14,14_UJ_Sat_3rd,USDJPY,Short,NORMAL,16,8.937777780000001,0.5586111112500001,6.362666666927468,81.25,0.815726495923077,-0.5555555556666666,True,-0.4339043211145833,0.4951543210833334,False,-0.8808190291895778,0.024015243875790415,5000,False
FULL,robustness,14,14_UJ_Sat_3rd,USDJPY,Short,HIGH,18,1.142222223,0.06345679016666667,1.273549760733575,44.44444444444444,0.66472222225,-0.4175555555,True,-0.4339043211145833,0.4951543210833334,False,-0.8808190291895778,0.024015243875790415,5000,False
FULL,robustness,15,15_UJ_Sat_Aug,USDJPY,Short,LOW,11,2.045,0.1859090909090909,1.3858490566037736,45.45454545454545,1.4689999999999999,-0.8833333333333333,True,0.2963528138528138,0.5426785714285713,False,-1.1691803392658509,0.7251071866246495,4880,False
FULL,robustness,15,15_UJ_Sat_Aug,USDJPY,Short,NORMAL,12,-0.7249999999999999,-0.06041666666666665,0.9010238907849829,33.33333333333333,1.65,-0.915625,True,0.2963528138528138,0.5426785714285713,False,-1.1691803392658509,0.7251071866246495,4880,False
FULL,robustness,15,15_UJ_Sat_Aug,USDJPY,Short,HIGH,42,20.255,0.4822619047619047,2.351234156104069,59.523809523809526,1.4098,-0.881764705882353,False,0.2963528138528138,0.5426785714285713,False,-1.1691803392658509,0.7251071866246495,4880,False
FULL,robustness,16,16_UJ_T10A,USDJPY,Long,LOW,19,1.2488888889999998,0.06573099415789473,1.349068322990741,68.42105263157895,0.37128205130769226,-0.5962962963333334,True,0.30812521495975237,0.30812521495975237,False,-0.16972004656763157,0.837185671260833,5000,False
FULL,robustness,16,16_UJ_T10A,USDJPY,Long,NORMAL,18,4.666666667,0.2592592592777778,3.422145329730846,72.22222222222221,0.5071794871538462,-0.3853333332,True,0.30812521495975237,0.30812521495975237,False,-0.16972004656763157,0.837185671260833,5000,False
FULL,robustness,16,16_UJ_T10A,USDJPY,Long,HIGH,17,6.3555555550000005,0.3738562091176471,3.801175317933341,58.82352941176471,0.8624444444,-0.3241269841428571,True,0.30812521495975237,0.30812521495975237,False,-0.16972004656763157,0.837185671260833,5000,False
FULL,robustness,17,17_EA_1B_Wed_Short,EURAUD,Short,LOW,135,24.315714284,0.1801164021037037,1.9960791197566463,61.48148148148148,0.587074010313253,-0.4694505494615384,False,-0.03394556263978618,0.04300426693166068,True,-0.23982632200312215,0.17557834689364793,5000,False
FULL,robustness,17,17_EA_1B_Wed_Short,EURAUD,Short,NORMAL,93,12.751428571,0.13711213517204301,1.5381322721914144,60.215053763440864,0.6508418367678572,-0.6404247104864865,False,-0.03394556263978618,0.04300426693166068,True,-0.23982632200312215,0.17557834689364793,5000,False
FULL,robustness,17,17_EA_1B_Wed_Short,EURAUD,Short,HIGH,97,14.178571428,0.1461708394639175,1.5030155592723333,54.63917525773196,0.7993530996981132,-0.6406168830909091,False,-0.03394556263978618,0.04300426693166068,True,-0.23982632200312215,0.17557834689364793,5000,False
FULL,robustness,18,18_EA_2_MonWed_Short,EURAUD,Short,LOW,369,12.798888895000001,0.03468533575880759,1.147810242466195,50.67750677506775,0.5314913844598931,-0.4757692307637363,False,0.023881557682008732,0.023881557682008732,True,-0.11012666625006265,0.15955934675384845,5000,False
FULL,robustness,18,18_EA_2_MonWed_Short,EURAUD,Short,NORMAL,268,15.141111112,0.05649668325373135,1.200828248907986,57.46268656716418,0.5878860028701298,-0.6613450292105264,False,0.023881557682008732,0.023881557682008732,True,-0.11012666625006265,0.15955934675384845,5000,False
FULL,robustness,18,18_EA_2_MonWed_Short,EURAUD,Short,HIGH,245,14.348888893,0.05856689344081632,1.1817107318819446,49.38775510204081,0.7711937557520661,-0.6419963866097561,False,0.023881557682008732,0.023881557682008732,True,-0.11012666625006265,0.15955934675384845,5000,False
FULL,robustness,19,19_EA_3_WedThu_Long,EURAUD,Long,LOW,272,19.53111112,0.07180555558823529,1.4080505132123875,56.61764705882353,0.43763347768831173,-0.40909781576068377,False,0.09044472500772432,0.14501236469200482,True,-0.04282973257051331,0.22317631083313824,5000,False
FULL,robustness,19,19_EA_3_WedThu_Long,EURAUD,Long,NORMAL,177,3.051111115,0.017237915903954803,1.078609870706618,49.717514124293785,0.4757323232727273,-0.4361048689101124,False,0.09044472500772432,0.14501236469200482,True,-0.04282973257051331,0.22317631083313824,5000,False
FULL,robustness,19,19_EA_3_WedThu_Long,EURAUD,Long,HIGH,198,32.125555558,0.1622502805959596,1.7094866510472386,58.58585858585859,0.6672892720344827,-0.5521951219268293,False,0.09044472500772432,0.14501236469200482,True,-0.04282973257051331,0.22317631083313824,5000,False
FULL,robustness,20,20_EA_1A_MonTue_Short,EURAUD,Short,LOW,305,-1.0479999999999996,-0.0034360655737704906,0.98622538839673,48.85245901639344,0.5035838926174497,-0.4877051282051282,False,0.08770974978429681,0.08770974978429681,True,-0.057806036532947476,0.23675676800702117,5000,False
FULL,robustness,20,20_EA_1A_MonTue_Short,EURAUD,Short,NORMAL,217,8.478,0.03906912442396313,1.167854597291518,52.07373271889401,0.522,-0.49036893203883497,False,0.08770974978429681,0.08770974978429681,True,-0.057806036532947476,0.23675676800702117,5000,False
FULL,robustness,20,20_EA_1A_MonTue_Short,EURAUD,Short,HIGH,190,16.012,0.08427368421052632,1.2812774479148368,52.10526315789473,0.7367474747474748,-0.6255604395604396,False,0.08770974978429681,0.08770974978429681,True,-0.057806036532947476,0.23675676800702117,5000,False
FULL,robustness,21,21_GA_B_3,GBPAUD,Long,LOW,233,-0.40909089900000023,-0.001755754931330473,0.9787364745537458,45.92274678111588,0.1759813084579439,-0.15269119765079367,False,0.027975850694488366,0.028269893094368084,True,-0.028580987470806667,0.08308855910761423,5000,False
FULL,robustness,21,21_GA_B_3,GBPAUD,Long,NORMAL,157,-0.32181818100000004,-0.002049797331210191,0.9759617017576243,53.503184713375795,0.15554653682142858,-0.18594065658333334,False,0.027975850694488366,0.028269893094368084,True,-0.028580987470806667,0.08308855910761423,5000,False
FULL,robustness,21,21_GA_B_3,GBPAUD,Long,HIGH,152,3.9854545559999996,0.026220095763157893,1.2312358253056583,55.92105263157895,0.24965775411764707,-0.2572455902089552,False,0.027975850694488366,0.028269893094368084,True,-0.028580987470806667,0.08308855910761423,5000,False
FULL,robustness,22,22_GA_C_2,GBPAUD,Long,LOW,171,5.048571432000002,0.02952380954385966,1.0954438653499907,50.29239766081871,0.6737707641744186,-0.6223025210235293,False,0.0473015873380848,0.05832101808545069,True,-0.13304786957614279,0.23564797517856692,5000,False
FULL,robustness,22,22_GA_C_2,GBPAUD,Long,NORMAL,116,10.190000005000002,0.08784482762931035,1.274652497146438,55.172413793103445,0.7389285715156251,-0.7274789916078432,False,0.0473015873380848,0.05832101808545069,True,-0.13304786957614279,0.23564797517856692,5000,False
FULL,robustness,22,22_GA_C_2,GBPAUD,Long,HIGH,144,11.062857151000003,0.07682539688194447,1.2150274894787318,50.0,0.8682142857916667,-0.7145634920277778,False,0.0473015873380848,0.05832101808545069,True,-0.13304786957614279,0.23564797517856692,5000,False
FULL,robustness,23,23_GA_F_2,GBPAUD,Short,LOW,162,-2.103333335,-0.01298353910493827,0.9213282353397008,49.382716049382715,0.30790277779999997,-0.3300685871481482,False,0.14858998524234285,0.14858998524234285,True,0.039858983067267546,0.2554409557390406,5000,True
FULL,robustness,23,23_GA_F_2,GBPAUD,Short,NORMAL,110,1.7955555559999998,0.016323232327272726,1.1182410185375506,46.36363636363636,0.3329629629803922,-0.25738229755932207,False,0.14858998524234285,0.14858998524234285,True,0.039858983067267546,0.2554409557390406,5000,True
FULL,robustness,23,23_GA_F_2,GBPAUD,Short,HIGH,131,17.764444444,0.13560644613740458,2.174638160308015,54.961832061068705,0.45677469134722226,-0.2563276836101695,False,0.14858998524234285,0.14858998524234285,True,0.039858983067267546,0.2554409557390406,5000,True
FULL,robustness,24,24_GA_D_1,GBPAUD,Long,LOW,162,5.791111114,0.0357475994691358,1.2344052171508926,57.407407407407405,0.32792114694623653,-0.35805152973913046,False,0.09368412230185655,0.09956303493462872,True,-0.04185984659651898,0.2304768189668267,5000,False
FULL,robustness,24,24_GA_D_1,GBPAUD,Long,NORMAL,110,3.285555552,0.029868686836363637,1.1544205961990022,54.54545454545454,0.4093703703333333,-0.42553333336,False,0.09368412230185655,0.09956303493462872,True,-0.04185984659651898,0.2304768189668267,5000,False
FULL,robustness,24,24_GA_D_1,GBPAUD,Long,HIGH,131,16.955555552,0.12943172177099235,1.7115214246989912,56.48854961832062,0.5511561561351351,-0.4180701754736842,False,0.09368412230185655,0.09956303493462872,True,-0.04185984659651898,0.2304768189668267,5000,False
FULL,robustness,25,25_AU_China_Demand,AUDUSD,Long,LOW,404,19.675,0.04870049504950495,1.353041449847479,53.71287128712871,0.3474884792626728,-0.30453551912568305,False,0.004021544424179256,0.020480356014324838,True,-0.06568994956308694,0.07418469573114754,5000,False
FULL,robustness,25,25_AU_China_Demand,AUDUSD,Long,NORMAL,235,16.2575,0.06918085106382979,1.4442546796010385,57.02127659574469,0.3944216417910448,-0.3623267326732673,False,0.004021544424179256,0.020480356014324838,True,-0.06568994956308694,0.07418469573114754,5000,False
FULL,robustness,25,25_AU_China_Demand,AUDUSD,Long,HIGH,304,16.0275,0.05272203947368421,1.272021384928717,53.289473684210535,0.46263888888888893,-0.41787234042553195,False,0.004021544424179256,0.020480356014324838,True,-0.06568994956308694,0.07418469573114754,5000,False
FULL,robustness,26,26_AJ_China_Demand,AUDJPY,Long,LOW,196,20.635555562,0.10528344674489797,1.6402813213037293,62.244897959183675,0.43331511845081966,-0.4414916286164383,False,0.045515773524107864,0.07789402152588656,True,-0.0840415332786188,0.17973999630351525,5000,False
FULL,robustness,26,26_AJ_China_Demand,AUDJPY,Long,NORMAL,109,7.946666663,0.07290519874311926,1.4096689194992593,55.96330275229357,0.44826958100000003,-0.404120370375,False,0.045515773524107864,0.07789402152588656,True,-0.0840415332786188,0.17973999630351525,5000,False
FULL,robustness,26,26_AJ_China_Demand,AUDJPY,Long,HIGH,171,25.786666666,0.15079922026900583,1.6753972411386955,56.14035087719298,0.6663194444270834,-0.5090666666533333,False,0.045515773524107864,0.07789402152588656,True,-0.0840415332786188,0.17973999630351525,5000,False
FULL,robustness,27,27_EA_China_Demand,EURAUD,Short,LOW,206,25.099999999,0.1218446601893204,1.878902830346878,59.70873786407766,0.43624661247967483,-0.34827235775609755,False,-0.06590396489484188,0.06590396489484188,True,-0.18278922980724602,0.049385220011879914,5000,False
FULL,robustness,27,27_EA_China_Demand,EURAUD,Short,NORMAL,169,16.885000001,0.09991124260946746,1.6163908494215813,58.57988165680473,0.44725589225252527,-0.3913333333142857,False,-0.06590396489484188,0.06590396489484188,True,-0.18278922980724602,0.049385220011879914,5000,False
FULL,robustness,27,27_EA_China_Demand,EURAUD,Short,HIGH,163,9.118333333,0.05594069529447853,1.2314102021819273,55.21472392638037,0.5391296296111111,-0.5397716894794521,False,-0.06590396489484188,0.06590396489484188,True,-0.18278922980724602,0.049385220011879914,5000,False
FULL,robustness,28,28_GA_China_Demand,GBPAUD,Short,LOW,218,11.981333332,0.05496024464220184,1.3281957633183488,53.669724770642205,0.41442735039316236,-0.36506666664,False,0.04545354842101655,0.04545354842101655,True,-0.06337709387833297,0.15764114094937923,5000,False
FULL,robustness,28,28_GA_China_Demand,GBPAUD,Short,NORMAL,143,9.895999994,0.06920279716083916,1.381574211915941,56.64335664335665,0.4423539093703704,-0.41830107524193544,False,0.04545354842101655,0.04545354842101655,True,-0.06337709387833297,0.15764114094937923,5000,False
FULL,robustness,28,28_GA_China_Demand,GBPAUD,Short,HIGH,174,17.471999993,0.10041379306321839,1.5499643259700129,57.47126436781609,0.49241333326000003,-0.4293153153108108,False,0.04545354842101655,0.04545354842101655,True,-0.06337709387833297,0.15764114094937923,5000,False
