Period,Method,StrategyNo,Group,Aggregation,Regime,Trades,TotalR,AvgR,PF,WinRate,AvgWinR,AvgLossR,LOW_SAMPLE,Eligible,EligibleStrategies,SameSignStrategies,HighMinusLowAvgR,RegimeOrder
Historical,primary,,Short,strategy_equal_weighted,LOW,,,0.0756891738652102,,,,,,,11.0,9.0,0.0406400113878618,LOW < NORMAL < HIGH
Historical,primary,,Short,trade_weighted,NORMAL,1146.0,123.403639245,0.1076820586780104,1.481979070331506,53.92670157068062,0.6139788102912621,-0.4867590599144487,False,,11.0,9.0,0.0275582882863426,LOW < NORMAL < HIGH
Historical,primary,,Short,strategy_equal_weighted,NORMAL,,,0.114837179404565,,,,,,,11.0,9.0,0.0406400113878618,LOW < NORMAL < HIGH
Historical,primary,,Short,trade_weighted,HIGH,1215.0,132.563108214,0.1091054388592592,1.4423471025550614,54.07407407407408,0.6579060928812785,-0.5370630731344086,False,,11.0,9.0,0.0275582882863426,LOW < NORMAL < HIGH
Historical,primary,,Short,strategy_equal_weighted,HIGH,,,0.116329185253072,,,,,,,11.0,9.0,0.0406400113878618,LOW < NORMAL < HIGH
Historical,robustness,1.0,,,LOW,153.0,10.429999994,0.0681699346013072,1.2853848256666327,54.248366013071895,0.5659896729518072,-0.5221020408714285,False,True,,,0.029966711373848,LOW < HIGH < NORMAL
Historical,robustness,1.0,,,NORMAL,134.0,20.408571431,0.1523027718731343,1.7347253652424126,59.70149253731343,0.6023214286,-0.514391534388889,False,True,,,0.029966711373848,LOW < HIGH < NORMAL
Historical,robustness,1.0,,,HIGH,161.0,15.800000002,0.0981366459751552,1.4219763449583291,59.006211180124225,0.5604511278421053,-0.5673160173181818,False,True,,,0.029966711373848,LOW < HIGH < NORMAL
Historical,robustness,2.0,,,LOW,184.0,11.275555558,0.06128019325,1.2360658788934007,53.80434782608695,0.5963636364040404,-0.5686243386428571,False,True,,,0.0307176174051724,LOW < HIGH < NORMAL
Historical,robustness,2.0,,,NORMAL,159.0,18.235555562,0.1146890286918239,1.489297000972864,58.490566037735846,0.5968219833225806,-0.5646801346515152,False,True,,,0.0307176174051724,LOW < HIGH < NORMAL
Historical,robustness,2.0,,,HIGH,203.0,18.675555563,0.0919978106551724,1.3416121297112096,56.65024630541872,0.6377777778608695,-0.6212373737613637,False,True,,,0.0307176174051724,LOW < HIGH < NORMAL
Historical,robustness,3.0,,,LOW,183.0,3.617333339,0.0197668488469945,1.1378206758765057,51.36612021857923,0.3177021276808511,-0.294906367,False,True,,,0.0215927570347788,LOW < HIGH < NORMAL
Historical,robustness,3.0,,,NORMAL,159.0,12.333333327,0.0775681341320754,1.649259492859062,57.23270440251572,0.3442783882197802,-0.2835223880746269,False,True,,,0.0215927570347788,LOW < HIGH < NORMAL
Historical,robustness,3.0,,,HIGH,203.0,8.395999994,0.0413596058817734,1.2436730901368798,55.66502463054187,0.3792212388938053,-0.3871460674269663,False,True,,,0.0215927570347788,LOW < HIGH < NORMAL
