StrategyNo,EntryTime,Variant,Direction,Checkpoint,IndependentMFE,IndependentR,Status
13,2015-05-27 18:04:00,NP50,Long,2015-05-27 20:03:00,0.6631578947368523,0.726315789,PASS
13,2026-02-25 18:04:00,NP50,Long,2026-02-25 20:03:00,0.42631578947368537,0.356842105,PASS
13,2015-05-27 18:04:00,NP75,Long,2015-05-27 21:03:00,0.734736842105271,0.726315789,PASS
13,2026-02-25 18:04:00,NP75,Long,2026-02-25 21:03:00,0.46421052631579207,0.356842105,PASS
15,2015-08-03 19:00:00,NP50,Short,2015-08-03 21:15:00,0.0,-0.52,PASS
15,2026-08-06 19:00:00,NP50,Short,2026-08-06 21:15:00,0.22500000000007958,0.01,PASS
15,2015-08-03 19:00:00,NP75,Short,2015-08-03 22:22:00,0.3750000000000142,0.525,PASS
15,2026-08-05 19:00:00,NP75,Short,2026-08-05 22:22:00,1.6599999999999682,1.75,PASS
15,2015-08-04 19:00:00,NP50,Short,2015-08-04 21:15:00,0.2949999999999875,-0.465,PASS
15,2026-08-05 19:00:00,NP50,Short,2026-08-05 21:15:00,1.3049999999999784,1.75,PASS
15,2015-08-05 19:00:00,NP75,Short,2015-08-05 22:22:00,,1.75,PASS
15,2026-08-10 19:00:00,NP75,Short,2026-08-10 22:22:00,,1.75,PASS
15,2015-08-06 19:00:00,NP75,Short,2015-08-06 22:22:00,0.19000000000005457,-0.09,PASS
15,2026-08-06 19:00:00,NP75,Short,2026-08-06 22:22:00,0.22500000000007958,-0.19,PASS
16,2015-09-10 02:58:00,NP50,Long,2015-09-10 06:24:00,,-1.0,PASS
16,2026-03-10 02:58:00,NP50,Long,2026-03-10 06:24:00,,-1.0,PASS
16,2015-09-10 02:58:00,NP75,Long,2015-09-10 08:07:00,,-1.0,PASS
16,2026-03-10 02:58:00,NP75,Long,2026-03-10 08:07:00,,-1.0,PASS
14,2015-11-03 20:01:00,NP50,Short,2015-11-03 23:34:00,0.06444444444443635,-0.5,PASS
14,2026-07-03 20:01:00,NP50,Short,2026-07-03 23:34:00,0.10444444444443787,-0.275555556,PASS
14,2015-11-03 20:01:00,NP75,Short,2015-11-04 01:21:00,0.06444444444443635,-0.78,PASS
14,2026-07-03 20:01:00,NP75,Short,2026-07-04 01:21:00,0.10444444444443787,-0.535555556,PASS
14,2016-02-03 20:01:00,NP75,Short,2016-02-04 01:21:00,,1.555555556,PASS
14,2026-09-03 20:01:00,NP75,Short,2026-09-04 01:21:00,,1.555555556,PASS
15,2018-08-06 19:00:00,NP50,Short,2018-08-06 21:15:00,,-1.0,PASS
15,2026-08-10 19:00:00,NP50,Short,2026-08-10 21:15:00,,1.75,PASS
