Pair,Date,Season,Direction,Endpoint,RawTime,UTC,JST,London,Open,Filename,SourceRow,Pip,X,Y,Status
GBPJPY,2015-03-30,summer,DOWN,London08,2015-03-30 10:00:00,2015-03-30 07:00:00+00:00,2015-03-30 16:00:00+09:00,2015-03-30 08:00:00+01:00,176.773,GBPJPY_M1_201501020900_201612302359.csv,87653,0.01,-39.400000000000546,73.40000000000089,RAW_CSV_DECIMAL_VERIFIED
GBPJPY,2015-03-30,summer,DOWN,London11,2015-03-30 13:00:00,2015-03-30 10:00:00+00:00,2015-03-30 19:00:00+09:00,2015-03-30 11:00:00+01:00,177.507,GBPJPY_M1_201501020900_201612302359.csv,87833,0.01,-39.400000000000546,73.40000000000089,RAW_CSV_DECIMAL_VERIFIED
AUDJPY,2015-01-06,winter,UP,Tokyo09,2015-01-06 02:00:00,2015-01-06 00:00:00+00:00,2015-01-06 09:00:00+09:00,2015-01-06 00:00:00+00:00,96.682,AUDJPY_M1_201501020900_201612302359.csv,2462,0.01,17.600000000000193,-11.199999999999475,RAW_CSV_DECIMAL_VERIFIED
AUDJPY,2015-01-06,winter,UP,Tokyo15,2015-01-06 08:00:00,2015-01-06 06:00:00+00:00,2015-01-06 15:00:00+09:00,2015-01-06 06:00:00+00:00,96.858,AUDJPY_M1_201501020900_201612302359.csv,2822,0.01,17.600000000000193,-11.199999999999475,RAW_CSV_DECIMAL_VERIFIED
AUDJPY,2015-01-06,winter,UP,London08,2015-01-06 10:00:00,2015-01-06 08:00:00+00:00,2015-01-06 17:00:00+09:00,2015-01-06 08:00:00+00:00,96.826,AUDJPY_M1_201501020900_201612302359.csv,2942,0.01,17.600000000000193,-11.199999999999475,RAW_CSV_DECIMAL_VERIFIED
AUDJPY,2015-01-06,winter,UP,London11,2015-01-06 13:00:00,2015-01-06 11:00:00+00:00,2015-01-06 20:00:00+09:00,2015-01-06 11:00:00+00:00,96.714,AUDJPY_M1_201501020900_201612302359.csv,3122,0.01,17.600000000000193,-11.199999999999475,RAW_CSV_DECIMAL_VERIFIED
AUDJPY,2015-01-05,winter,DOWN,Tokyo09,2015-01-05 02:00:00,2015-01-05 00:00:00+00:00,2015-01-05 09:00:00+09:00,2015-01-05 00:00:00+00:00,97.114,AUDJPY_M1_201501020900_201612302359.csv,1022,0.01,-18.80000000000024,20.199999999999815,RAW_CSV_DECIMAL_VERIFIED
AUDJPY,2015-01-05,winter,DOWN,Tokyo15,2015-01-05 08:00:00,2015-01-05 06:00:00+00:00,2015-01-05 15:00:00+09:00,2015-01-05 06:00:00+00:00,96.926,AUDJPY_M1_201501020900_201612302359.csv,1382,0.01,-18.80000000000024,20.199999999999815,RAW_CSV_DECIMAL_VERIFIED
AUDJPY,2015-01-05,winter,DOWN,London08,2015-01-05 10:00:00,2015-01-05 08:00:00+00:00,2015-01-05 17:00:00+09:00,2015-01-05 08:00:00+00:00,96.871,AUDJPY_M1_201501020900_201612302359.csv,1502,0.01,-18.80000000000024,20.199999999999815,RAW_CSV_DECIMAL_VERIFIED
AUDJPY,2015-01-05,winter,DOWN,London11,2015-01-05 13:00:00,2015-01-05 11:00:00+00:00,2015-01-05 20:00:00+09:00,2015-01-05 11:00:00+00:00,97.073,AUDJPY_M1_201501020900_201612302359.csv,1682,0.01,-18.80000000000024,20.199999999999815,RAW_CSV_DECIMAL_VERIFIED
AUDJPY,2015-04-01,summer,UP,Tokyo09,2015-04-01 03:00:00,2015-04-01 00:00:00+00:00,2015-04-01 09:00:00+09:00,2015-04-01 01:00:00+01:00,91.36,AUDJPY_M1_201501020900_201612302359.csv,89475,0.01,3.7999999999996703,-19.299999999999784,RAW_CSV_DECIMAL_VERIFIED
AUDJPY,2015-04-01,summer,UP,Tokyo15,2015-04-01 09:00:00,2015-04-01 06:00:00+00:00,2015-04-01 15:00:00+09:00,2015-04-01 07:00:00+01:00,91.398,AUDJPY_M1_201501020900_201612302359.csv,89835,0.01,3.7999999999996703,-19.299999999999784,RAW_CSV_DECIMAL_VERIFIED
AUDJPY,2015-04-01,summer,UP,London08,2015-04-01 10:00:00,2015-04-01 07:00:00+00:00,2015-04-01 16:00:00+09:00,2015-04-01 08:00:00+01:00,91.499,AUDJPY_M1_201501020900_201612302359.csv,89895,0.01,3.7999999999996703,-19.299999999999784,RAW_CSV_DECIMAL_VERIFIED
AUDJPY,2015-04-01,summer,UP,London11,2015-04-01 13:00:00,2015-04-01 10:00:00+00:00,2015-04-01 19:00:00+09:00,2015-04-01 11:00:00+01:00,91.306,AUDJPY_M1_201501020900_201612302359.csv,90075,0.01,3.7999999999996703,-19.299999999999784,RAW_CSV_DECIMAL_VERIFIED
AUDJPY,2015-03-30,summer,DOWN,Tokyo09,2015-03-30 03:00:00,2015-03-30 00:00:00+00:00,2015-03-30 09:00:00+09:00,2015-03-30 01:00:00+01:00,92.223,AUDJPY_M1_201501020900_201612302359.csv,86595,0.01,-19.599999999999795,-2.200000000000557,RAW_CSV_DECIMAL_VERIFIED
AUDJPY,2015-03-30,summer,DOWN,Tokyo15,2015-03-30 09:00:00,2015-03-30 06:00:00+00:00,2015-03-30 15:00:00+09:00,2015-03-30 07:00:00+01:00,92.027,AUDJPY_M1_201501020900_201612302359.csv,86955,0.01,-19.599999999999795,-2.200000000000557,RAW_CSV_DECIMAL_VERIFIED
AUDJPY,2015-03-30,summer,DOWN,London08,2015-03-30 10:00:00,2015-03-30 07:00:00+00:00,2015-03-30 16:00:00+09:00,2015-03-30 08:00:00+01:00,92.004,AUDJPY_M1_201501020900_201612302359.csv,87015,0.01,-19.599999999999795,-2.200000000000557,RAW_CSV_DECIMAL_VERIFIED
AUDJPY,2015-03-30,summer,DOWN,London11,2015-03-30 13:00:00,2015-03-30 10:00:00+00:00,2015-03-30 19:00:00+09:00,2015-03-30 11:00:00+01:00,91.982,AUDJPY_M1_201501020900_201612302359.csv,87195,0.01,-19.599999999999795,-2.200000000000557,RAW_CSV_DECIMAL_VERIFIED
EURAUD,2015-01-05,winter,UP,Tokyo09,2015-01-05 02:00:00,2015-01-05 00:00:00+00:00,2015-01-05 09:00:00+09:00,2015-01-05 00:00:00+00:00,1.48043,EURAUD_M1_201501020900_201612302359.csv,1022,0.0001,19.000000000000128,-75.89999999999985,RAW_CSV_DECIMAL_VERIFIED
EURAUD,2015-01-05,winter,UP,Tokyo15,2015-01-05 08:00:00,2015-01-05 06:00:00+00:00,2015-01-05 15:00:00+09:00,2015-01-05 06:00:00+00:00,1.48233,EURAUD_M1_201501020900_201612302359.csv,1382,0.0001,19.000000000000128,-75.89999999999985,RAW_CSV_DECIMAL_VERIFIED
EURAUD,2015-01-05,winter,UP,London08,2015-01-05 10:00:00,2015-01-05 08:00:00+00:00,2015-01-05 17:00:00+09:00,2015-01-05 08:00:00+00:00,1.48532,EURAUD_M1_201501020900_201612302359.csv,1502,0.0001,19.000000000000128,-75.89999999999985,RAW_CSV_DECIMAL_VERIFIED
EURAUD,2015-01-05,winter,UP,London11,2015-01-05 13:00:00,2015-01-05 11:00:00+00:00,2015-01-05 20:00:00+09:00,2015-01-05 11:00:00+00:00,1.47773,EURAUD_M1_201501020900_201612302359.csv,1682,0.0001,19.000000000000128,-75.89999999999985,RAW_CSV_DECIMAL_VERIFIED
EURAUD,2015-01-06,winter,DOWN,Tokyo09,2015-01-06 02:00:00,2015-01-06 00:00:00+00:00,2015-01-06 09:00:00+09:00,2015-01-06 00:00:00+00:00,1.47383,EURAUD_M1_201501020900_201612302359.csv,2462,0.0001,-55.70000000000075,-61.19999999999903,RAW_CSV_DECIMAL_VERIFIED
EURAUD,2015-01-06,winter,DOWN,Tokyo15,2015-01-06 08:00:00,2015-01-06 06:00:00+00:00,2015-01-06 15:00:00+09:00,2015-01-06 06:00:00+00:00,1.46826,EURAUD_M1_201501020900_201612302359.csv,2822,0.0001,-55.70000000000075,-61.19999999999903,RAW_CSV_DECIMAL_VERIFIED
EURAUD,2015-01-06,winter,DOWN,London08,2015-01-06 10:00:00,2015-01-06 08:00:00+00:00,2015-01-06 17:00:00+09:00,2015-01-06 08:00:00+00:00,1.46943,EURAUD_M1_201501020900_201612302359.csv,2942,0.0001,-55.70000000000075,-61.19999999999903,RAW_CSV_DECIMAL_VERIFIED
EURAUD,2015-01-06,winter,DOWN,London11,2015-01-06 13:00:00,2015-01-06 11:00:00+00:00,2015-01-06 20:00:00+09:00,2015-01-06 11:00:00+00:00,1.46331,EURAUD_M1_201501020900_201612302359.csv,3122,0.0001,-55.70000000000075,-61.19999999999903,RAW_CSV_DECIMAL_VERIFIED
