Variant,StrategyNo,Strategy,BaselineTotalR,DeltaTotalR,Improved,Harmed,Unchanged,SampleStatus,Trades,Weeks,TotalR,AvgR,PF,WinRate,AvgWinR,AvgLossR,TriggerRate,SLRate,TPRate,TimeExitRate,DynamicSLRate,WorstDayR,WorstWeekR,MaxDDR
R2_LOCK100,10,10_AJ_SatA,2.8739999999999983,0.0,0,0,403,OK,403,403,2.8739999999999983,0.0071315136476426755,1.0611541407779386,0.46898263027295284,0.2638624338624339,-0.22167924528301888,0.0,0.01240694789081886,0.15384615384615385,0.8337468982630273,0.0,-1.0,-1.0,7.084
R2_LOCK100,11,11_AJ_SatB,23.105454530999996,-0.5527272709999984,9,9,385,OK,403,403,22.552727259999998,0.05596210238213399,1.2671318428650893,0.5012406947890818,0.529594959480198,-0.42002713708955225,0.15632754342431762,0.07196029776674938,0.03225806451612903,0.8511166253101737,0.04466501240694789,-1.0,-1.0,5.985454548000003
R2_LOCK100,12,12_UJ_Short_Core,129.353,-11.134000000000029,24,35,487,OK,546,231,118.21899999999998,0.21651831501831498,2.142952442644031,0.6043956043956044,0.6716727272727273,-0.48560093896713613,0.2619047619047619,0.10256410256410256,0.040293040293040296,0.7490842490842491,0.10805860805860806,-1.0,-3.0,4.561999999999983
R2_LOCK100,13,13_UJ_Fix_MidWeek,19.084210522,0.0,0,0,223,OK,223,133,19.084210522,0.08557941938116592,2.323454266251948,0.6233183856502242,0.24103748578417267,-0.1716666666904762,0.0,0.008968609865470852,0.008968609865470852,0.9820627802690582,0.0,-1.0,-0.797894737,1.8926315789999997
R2_LOCK100,14,14_UJ_Sat_3rd,28.233333342,-3.1444444460000014,4,5,64,OK,73,73,25.088888896,0.3436834095342466,3.1640789732652124,0.6986301369863014,0.7192592593921568,-0.5269696969545454,0.3698630136986301,0.0958904109589041,0.1643835616438356,0.6164383561643836,0.1232876712328767,-1.0,-1.0,1.6266666670000003
R2_LOCK100,15,15_UJ_Sat_Aug,24.075,-3.254999999999999,5,7,58,OK,70,23,20.82,0.29742857142857143,1.840193704600484,0.6,1.0857142857142856,-0.885,0.44285714285714284,0.32857142857142857,0.2571428571428571,0.24285714285714285,0.17142857142857143,-1.0,-2.5,5.620000000000001
R2_LOCK100,16,16_UJ_T10A,11.744444443999997,-1.6088888879999992,1,2,57,OK,60,60,10.135555555999998,0.1689259259333333,2.0795266272534967,0.65,0.5006267806410255,-0.447089947095238,0.18333333333333332,0.08333333333333333,0.016666666666666666,0.85,0.05,-1.0,-1.0,1.211111111000001
R2_LOCK100,17,17_EA_1B_Wed_Short,52.781428567999995,-1.9471428549999956,14,17,320,OK,351,351,50.834285713,0.14482702482336182,1.5910767083990716,0.6011396011396012,0.6485172647203792,-0.61430612245,0.2621082621082621,0.17094017094017094,0.014245014245014245,0.7264957264957265,0.08831908831908832,-1.0,-1.0,4.574285714
R2_LOCK100,18,18_EA_2_MonWed_Short,39.053333343,-0.8944444439999941,29,35,889,OK,953,426,38.158888899000004,0.04004080681951732,1.1462487118552618,0.5330535152151101,0.5887335958051182,-0.5876526526351352,0.19832109129066108,0.18153200419727178,0.022035676810073453,0.7292759706190975,0.06715634837355719,-1.0,-3.0,24.74777777300001
R2_LOCK100,19,19_EA_3_WedThu_Long,63.135555575999994,-9.335555555999996,12,15,676,OK,703,448,53.80000002,0.07652916076813655,1.3726593347233367,0.5561877667140825,0.5068229611048594,-0.4642050732218649,0.12375533428165007,0.09246088193456614,0.0,0.8691322901849218,0.03840682788051209,-1.0,-2.0,6.3377777769999994
R2_LOCK100,20,20_EA_1A_MonTue_Short,24.314000000000004,-0.29200000000000514,17,18,735,OK,770,450,24.022,0.031197402597402595,1.1220084515054245,0.5194805194805194,0.552275,-0.5335718157181571,0.15194805194805194,0.14675324675324675,0.01038961038961039,0.7974025974025974,0.045454545454545456,-1.0,-2.0,12.853999999999989
R2_LOCK100,21,21_GA_B_3,8.894545480999998,0.0,0,0,587,OK,587,587,8.894545480999998,0.015152547667802382,1.1673980928189815,0.5264054514480409,0.20073992357605178,-0.19181982275812276,0.0,0.008517887563884156,0.10562180579216354,0.8858603066439523,0.0,-1.0,-1.0,6.221363637000001
R2_LOCK100,23,23_GA_F_2,19.614444442,-1.5911111110000036,1,2,431,OK,434,434,18.023333330999996,0.04152841781336405,1.28142891836005,0.5069124423963134,0.37302525254090907,-0.3006677099906103,0.04838709677419355,0.03456221198156682,0.004608294930875576,0.9539170506912442,0.0069124423963133645,-1.0,-1.0,9.425555557999997
