Period,Pair,Event,N,MeanAlignedPips,MedianAlignedPips,PositiveRate,CILow,CIHigh,ValidBootstraps
RecentCombined,GBPJPY,DOWN_BREAKOUT,247,-1.4708502024292114,-5.49999999999784,0.4331983805668016,-6.114636158269562,3.302438207911176,5000
RecentCombined,GBPJPY,UP_SWEEP,176,-4.3823863636363765,-4.550000000000409,0.4090909090909091,-9.028210859672905,-0.05349540486819725,5000
RecentCombined,GBPJPY,DOWN_SWEEP,150,2.998000000000085,3.149999999999409,0.6,-1.8966538208168222,7.900031645569662,5000
RecentCombined,AUDJPY,UP_BREAKOUT,236,-0.19618644067792135,1.3500000000007617,0.5466101694915254,-2.69137041997923,2.1222709503745603,5000
RecentCombined,AUDJPY,DOWN_BREAKOUT,187,-0.3459893048127992,-3.5999999999987153,0.45454545454545453,-3.287824894930309,2.7673555575936137,5000
RecentCombined,AUDJPY,UP_SWEEP,162,1.0561728395061456,-1.5500000000002956,0.4567901234567901,-2.0280131421989904,4.618272485493182,5000
RecentCombined,AUDJPY,DOWN_SWEEP,105,-1.9085714285715145,-1.0000000000005116,0.45714285714285713,-5.806753177966103,1.9195763602908178,5000
RecentCombined,AUDUSD,UP_BREAKOUT,220,0.8372727272727218,0.9999999999998899,0.5454545454545454,-0.6239014895058013,2.280038626609448,5000
RecentCombined,AUDUSD,DOWN_BREAKOUT,197,0.5639593908629474,-0.49999999999994493,0.48223350253807107,-1.0484635324089828,2.1142404689919028,5000
RecentCombined,AUDUSD,UP_SWEEP,155,1.0361290322580838,1.0999999999994348,0.535483870967742,-0.89178590652188,2.9439109566368704,5000
RecentCombined,AUDUSD,DOWN_SWEEP,138,-1.2768115942028644,-0.7999999999996898,0.463768115942029,-3.1444215894039624,0.5364476297669722,5000
