Period,Pair,Hypothesis,N,Weeks,MeanAlignedPips,MedianAlignedPips,SDAlignedPips,TotalAlignedPips,PositiveRate,NegativeRate,ZeroRate,CILow,CIHigh,RawP,ValidBootstraps,Status
RecentA,USDJPY,SWEEP_REVERSAL,101,68,1.990099009900967,0.9999999999990905,24.887733946466437,200.99999999999767,0.5148514851485149,0.48514851485148514,0.0,-2.8946543579843618,7.053456310679625,0.4375124975004999,5000,OK
RecentA,EURJPY,BREAKOUT_CONTINUATION,241,99,1.5684647302904215,-0.9999999999990905,32.1173019526308,377.9999999999916,0.49377593360995853,0.5062240663900415,0.0,-2.6539484978540573,5.453359182318253,0.4413117376524695,5000,OK
RecentA,EURJPY,SWEEP_REVERSAL,140,74,4.803571428571251,5.349999999999966,34.2846052888905,672.4999999999752,0.5928571428571429,0.40714285714285714,0.0,-0.12940504037875578,10.17677290076307,0.0673865226954609,5000,OK
RecentA,GBPJPY,BREAKOUT_CONTINUATION,236,95,-3.4881355932202784,-3.499999999999659,42.394752123028496,-823.1999999999857,0.4491525423728814,0.5508474576271186,0.0,-8.495831906881188,1.3668404255319564,0.16356728654269145,5000,OK
RecentA,GBPJPY,SWEEP_REVERSAL,135,80,-2.8903703703702344,-3.8000000000010914,37.4977210731893,-390.1999999999816,0.48148148148148145,0.5185185185185185,0.0,-8.67669256981374,2.8077655828588752,0.32213557288542294,5000,OK
RecentA,AUDJPY,BREAKOUT_CONTINUATION,191,93,-0.3879581151831789,1.4000000000010004,22.301274722083008,-74.09999999998718,0.5235602094240838,0.47643979057591623,0.0,-3.890024896769427,3.162213612695314,0.8326334733053389,5000,OK
RecentA,AUDJPY,SWEEP_REVERSAL,129,78,0.7806201550387415,0.0,22.63443200330875,100.69999999999766,0.49612403100775193,0.4883720930232558,0.015503875968992248,-2.9911652661065213,5.188714788732425,0.7178564287142571,5000,OK
RecentA,AUDUSD,BREAKOUT_CONTINUATION,195,93,1.1851282051282033,1.3999999999991797,13.69450692641781,231.09999999999962,0.5384615384615384,0.4564102564102564,0.005128205128205128,-0.7384162593444333,3.0824657503175494,0.22475504899020196,5000,OK
RecentA,AUDUSD,SWEEP_REVERSAL,132,77,0.20757575757577193,0.8500000000000174,14.114150882957476,27.400000000001896,0.5378787878787878,0.4621212121212121,0.0,-2.0382994046476273,2.4888654205607494,0.8488302339532093,5000,OK
RecentA,EURAUD,BREAKOUT_CONTINUATION,208,93,2.9879807692308407,1.4500000000006175,25.420435686517582,621.5000000000149,0.5144230769230769,0.4855769230769231,0.0,-0.5968713592232247,6.575649595416448,0.10677864427114576,5000,OK
RecentA,EURAUD,SWEEP_REVERSAL,141,81,4.534042553191492,4.100000000000215,25.895558995393234,639.3000000000004,0.5673758865248227,0.4326241134751773,0.0,0.46940127803870557,8.910276315789526,0.038592281543691265,5000,OK
RecentA,GBPAUD,BREAKOUT_CONTINUATION,227,98,4.611453744493445,2.900000000001235,29.862633162226317,1046.800000000012,0.5462555066079295,0.44933920704845814,0.004405286343612335,0.9306815054211004,8.30487626491319,0.012997400519896021,5000,OK
RecentA,GBPAUD,SWEEP_REVERSAL,121,78,1.4528925619834645,0.10000000000065512,33.895570198233315,175.79999999999922,0.5041322314049587,0.49586776859504134,0.0,-4.44712876254199,7.403661251097697,0.6280743851229754,5000,OK
