Group,Method,Period,StrategyNo,Strategy,Regime,Trades,TotalR,AvgR,PF,WinRate,AvgWinR,AvgLossR,Flag,EligiblePair,WeakMinusStrongAvgR,Aggregation,EligibleStrategies,EligibleIDs
Long,robustness,Historical,26,26_AJ_China_Demand,JPY_WEAK_TREND,93,0.660000002,0.007096774215053763440860215054,1.040043144252666000989479075,0.5161290322580645161290322581,0.3571296296458333333333333333,-0.3662716049111111111111111111,,True,-0.1788422622097249976210866876,,,
Long,robustness,Historical,26,26_AJ_China_Demand,JPY_STRONG_TREND,113,21.011111116,0.1859390364247787610619469027,1.988913293896212213201773785,0.6017699115044247787610619469,0.6214379085441176470588235294,-0.4721481481111111111111111111,,True,-0.1788422622097249976210866876,,,
Long,robustness,Historical,26,26_AJ_China_Demand,NEUTRAL_MIXED,69,3.548888890,0.05143317231884057971014492754,1.248831411736504073102781304,0.5507246376811594202898550725,0.4687134503157894736842105263,-0.4754074074,,True,-0.1788422622097249976210866876,,,
Long,robustness,Historical,,,JPY_WEAK_TREND,1042,8.416267852,0.008077032487523992322456813820,1.040539240965832222304632097,0.5326295585412667946257197697,0.3892327867585585585585585586,-0.4289420016508264462809917355,,,-0.08834869315919415439568990433,trade_weighted,,
Long,robustness,Historical,,,JPY_STRONG_TREND,1554,149.845577655,0.09642572564671814671814671815,1.533482146703444208156379102,0.5585585585585585585585585586,0.4962300260541474654377880184,-0.4106463230409356725146198830,,,-0.08834869315919415439568990433,trade_weighted,,
Long,robustness,Historical,,,NEUTRAL_MIXED,821,57.911698606,0.07053800073812423873325213155,1.365888647492617052303574512,0.5651644336175395858708891596,0.46592357275,-0.4445978627808988764044943820,,,-0.08834869315919415439568990433,trade_weighted,,
Long,robustness,Historical,,,JPY_WEAK_TREND,,,0.02145068525738647158735268242,,,,,,,-0.07776682057267073571229315275,strategy_equal_weighted,9,1|2|3|4|6|7|8|13|26
Long,robustness,Historical,,,JPY_STRONG_TREND,,,0.09921750583005720729964583517,,,,,,,-0.07776682057267073571229315275,strategy_equal_weighted,9,1|2|3|4|6|7|8|13|26
Short,primary,Historical,5,5_GJ_Port_Log2,JPY_WEAK,313,31.813333336,0.1016400426070287539936102236,1.403051887771735483625114155,0.5559105431309904153354632588,0.6364623243908045977011494253,-0.5678497202014388489208633094,,True,0.00166003690522926813242770432,,,
Short,primary,Historical,5,5_GJ_Port_Log2,JPY_STRONG,389,38.892222218,0.09998000570179948586118251928,1.319665019728116589547327725,0.5167095115681233933161953728,0.7987949143134328358208955224,-0.6506179441657754010695187166,,True,0.00166003690522926813242770432,,,
Short,primary,Historical,5,5_GJ_Port_Log2,NEUTRAL_ZERO,0,0,,,,,,LOW_SAMPLE,True,0.00166003690522926813242770432,,,
Short,primary,Historical,9,9_AJ_Core2,JPY_WEAK,84,17.236666668,0.2051984127142857142857142857,1.680484274326114657494122174,0.5714285714285714285714285714,0.8868055555625,-0.7036111110833333333333333333,,True,-0.0229324284352469959946595461,,,
Short,primary,Historical,9,9_AJ_Core2,JPY_STRONG,107,24.410000003,0.2281308411495327102803738318,1.612290969985155367391056110,0.5233644859813084112149532710,1.147797619089285714285714286,-0.7816993463921568627450980392,,True,-0.0229324284352469959946595461,,,
