Dataset,RiskPct,RiskPctLabel,Month,Trades,StartEquity,EndEquity,NetProfitYen,ReturnPct,MaxDDYen,MaxDDPct
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2015-02,41,490601.0,507815.0,17213.0,3.51,36733.0,7.12
Global_H1_ATR_P70_Risk_2.0pct,0.02,2.0%,2024-11,76,17344306194.0,17958022050.0,613715855.0,3.54,2157903422.0,12.0
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2021-02,95,83236880.0,86215488.0,2978609.0,3.58,12175818.0,12.94
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2015-07,51,529923.0,549690.0,19767.0,3.73,43502.0,7.55
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2016-12,48,1303208.0,1352098.0,48890.0,3.75,89033.0,6.34
Global_H1_ATR_P70_Risk_2.0pct,0.02,2.0%,2015-05,59,572868.0,594825.0,21957.0,3.83,80229.0,12.24
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2024-08,24,1242700919.0,1290554152.0,47853232.0,3.85,108608458.0,7.9
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2016-02,9,847161.0,880105.0,32944.0,3.89,19999.0,2.26
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2022-12,35,252854517.0,263095087.0,10240570.0,4.05,30363140.0,11.37
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2025-05,61,2060183860.0,2144390688.0,84206828.0,4.09,236277265.0,11.13
Global_H1_ATR_P70_Risk_2.0pct,0.02,2.0%,2025-02,53,22918593781.0,23863394082.0,944800302.0,4.12,1513126597.0,6.43
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2017-10,86,5313788.0,5534731.0,220943.0,4.16,802359.0,13.75
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2025-06,73,2144390688.0,2234027160.0,89636472.0,4.18,279574989.0,12.2
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2022-03,62,28276204.0,29482140.0,1205935.0,4.26,1152793.0,3.87
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2022-04,79,187102930.0,195364635.0,8261705.0,4.42,20719121.0,10.61
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2026-02,49,252803660.0,264084167.0,11280507.0,4.46,11381772.0,4.23
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2026-01,78,4168991232.0,4358444077.0,189452845.0,4.54,191701116.0,4.32
Global_H1_ATR_P70_Risk_1.5pct,0.015,1.5%,2022-02,72,168139018.0,175834607.0,7695589.0,4.58,10282019.0,5.83
Global_H1_ATR_P70_Risk_1.0pct,0.01,1.0%,2022-01,94,26226675.0,27433011.0,1206336.0,4.6,1320721.0,4.76
