StrategyNo,Strategy,Period,Start,EndExclusive,Trades,TotalR,AvgR,PF,WinRate,AvgWinR,AvgLossR,MaxDDR,MaxLosingStreak,SLCount,SLRate,TPCount,TPRate,TimeCount,TimeRate,OtherCount,OtherRate
13,13_UJ_Fix_MidWeek,RecentA,2022-01-01,2024-01-01,38,4.817894735,0.1267867035526315789473684211,2.611052445053604254906144001,0.6842105263157894736842105263,0.3003238866153846153846153846,-0.2492105264166666666666666667,0.684210526,2,0,0,1,0.02631578947368421052631578947,37,0.9736842105263157894736842105,0,0
13,13_UJ_Fix_MidWeek,RecentB,2024-01-01,2026-01-01,38,4.897894733,0.1288919666578947368421052632,2.389784944482181627487607346,0.5789473684210526315789473684,0.3828229664090909090909090909,-0.220263158,0.840000001,3,0,0,1,0.02631578947368421052631578947,37,0.9736842105263157894736842105,0,0
13,13_UJ_Fix_MidWeek,RecentCombined,2022-01-01,2026-01-01,76,9.715789468,0.1278393351052631578947368421,2.491355629422971727110490831,0.6315789473684210526315789474,0.3381359648541666666666666667,-0.2326691730357142857142857143,0.840000001,3,0,0,2,0.02631578947368421052631578947,74,0.9736842105263157894736842105,0,0
13,13_UJ_Fix_MidWeek,Monitor2026,2026-01-01,2026-09-10,15,-0.528421054,-0.03522807026666666666666666667,0.7609523803560997732994190692,0.6666666666666666666666666667,0.1682105262,-0.4421052632,1.892631579,2,2,0.1333333333333333333333333333,0,0,13,0.8666666666666666666666666667,0,0
14,14_UJ_Sat_3rd,Historical,2015-01-01,2022-01-01,43,8.462222224,0.1967958656744186046511627907,2.152891311171662125340599455,0.6511627906976744186046511628,0.5643650794285714285714285714,-0.4893333333333333333333333333,1.502222222,4,4,0.09302325581395348837209302326,2,0.04651162790697674418604651163,37,0.8604651162790697674418604651,0,0
14,14_UJ_Sat_3rd,RecentA,2022-01-01,2024-01-01,11,8.971111114,0.8155555558181818181818181818,8.462107212654733311026752923,0.7272727272727272727272727273,1.271666667,-0.4007407406666666666666666667,1.028888889,2,1,0.09090909090909090909090909091,6,0.5454545454545454545454545455,4,0.3636363636363636363636363636,0,0
14,14_UJ_Sat_3rd,RecentB,2024-01-01,2026-01-01,13,10.164444448,0.7818803421538461538461538462,6.082222224,0.8461538461538461538461538462,1.105858586181818181818181818,-1.0,1.000000000,1,2,0.1538461538461538461538461538,7,0.5384615384615384615384615385,4,0.3076923076923076923076923077,0,0
14,14_UJ_Sat_3rd,RecentCombined,2022-01-01,2026-01-01,24,19.135555562,0.7973148150833333333333333333,6.975711314016357481888713219,0.7916666666666666666666666667,1.175672514947368421052631579,-0.6404444444,1.028888889,2,3,0.125,13,0.5416666666666666666666666667,8,0.3333333333333333333333333333,0,0
14,14_UJ_Sat_3rd,Monitor2026,2026-01-01,2026-09-10,6,0.635555556,0.105925926,1.412698412987012987012987013,0.5,0.7251851853333333333333333333,-0.5133333333333333333333333333,1.540000000,3,0,0,1,0.1666666666666666666666666667,5,0.8333333333333333333333333333,0,0
15,15_UJ_Sat_Aug,Historical,2015-01-01,2022-01-01,42,13.575,0.3232142857142857142857142857,1.964133522727272727272727273,0.5714285714285714285714285714,1.152291666666666666666666667,-0.7822222222222222222222222222,2.325,3,12,0.2857142857142857142857142857,11,0.2619047619047619047619047619,19,0.4523809523809523809523809524,0,0
